id,name,city,cuisine_style
1,Suarna,Barcelona,Mediterranean
2,The Wee Box Cafe,Edinburgh,Cafe
3,Le Safran,Paris,French
4,Crackers,Berlin,European
5,Pear Tree Cafe,London,Cafe
6,McDonald's,London,Fast Food
7,Paneria,Prague,Fast Food
8,Ristorante Arco di S. Calisto,Rome,Italian
9,Hamburgaria a Gina,Lisbon,American
10,Mibi's International Cuisine,Prague,Japanese
11,Hyttefadet,Copenhagen,Bar
12,Mallagueta,Lisbon,European
13,La Creperie Bretonne,Paris,French
14,Le Primerose,Paris,French
15,Cucina Casereccia da Marcello,Rome,Italian
16,Veranda,Geneva,French
17,Restaurant U Krale Karla,Prague,Mediterranean
18,Bangkok-Vienna,Vienna,Asian
19,Hunger Hut,London,Pizza
20,Il Rifugio,Brussels,Italian
21,La Verde Umbria,Barcelona,Italian
22,Bjolsen Sushi,Oslo,Japanese
23,Sushi Xxl,Hamburg,Asian
24,Fragments cafe,Barcelona,Mediterranean
25,Polpetta D.O.C.,Milan,Italian
26,Divina Pasta,Barcelona,Italian
27,Com Cuore,Oporto,Gluten Free Options
28,Meno Male Kungsholmen,Stockholm,Italian
29,Restaurang Lucky Garden,Stockholm,Chinese
30,Corey's Soul Chicken,Milan,American
31,Ristorante Fezzi,Hamburg,Italian
32,Cafe Sattva,Stockholm,Delicatessen
33,Le Barbylone,Paris,French
34,Solidni jistota,Prague,European
35,Mooty,Paris,French
36,Kappacasein,London,Fast Food
37,Cafe del Monaguillo,Madrid,Spanish
38,La Cuccagna,Milan,Italian
39,Kalus Restaurant,Berlin,International
40,Estrela de Ouro,Lisbon,European
41,La Vespa Bar and Trattoria,Berlin,Italian
42,Solito Posto,Brussels,Italian
43,The Parlour,London,Cafe
44,Caseiro,Lisbon,Mediterranean
45,Pizzeria Naturale,Milan,Italian
46,Nisida,Milan,Italian
47,Oka Restaurant,London,Japanese
48,The Restaurant at St Paul's,London,British
49,Taberna Entre Castillas,Madrid,Seafood
50,Il Tavolo Verde,Madrid,Mediterranean
51,Art Cafe Dublin,Dublin,Irish
52,La Terrazza Dei Papi,Rome,Italian
53,Mangetsu Sushi,London,Chinese
54,Piwnica Pod Zlota Pipa,Krakow,Polish
55,Szechuan Restaurant,Prague,Chinese
56,Fruehsammers Restaurant,Berlin,Fusion
57,Juan el paso tex mex,London,Mexican
58,McDonald's,Paris,American
59,Casa di David,Amsterdam,Italian
60,foster's hollywood,Barcelona,American
61,Birdie Num Nums,London,Cafe
62,Domino’s Pizza,Madrid,Italian
63,Los 60 Gastro Bar,Madrid,Spanish
64,Stravinskij Bar - Hotel De Russie,Rome,Italian
65,Restaurante O-Retornino,Barcelona,Seafood
66,Churrasqueira Portuguesa do Amial,Oporto,Steakhouse
67,Nat's LunchBox,Madrid,Mediterranean
68,Brew Pub le Sec,Barcelona,Pub
69,Fratelli Scarpetta,Rome,Italian
70,Restaurang Hemma Vasastan,Stockholm,European
71,Maxim,London,Chinese
72,La Raquetista,Madrid,Mediterranean
73,Chinmi Asian Fusion,Milan,Chinese
74,Foxlow Clerkenwell,London,American
75,Thai Vanda,Paris,Thai
76,La Coloniale Degustazione Vini,Milan,Pub
77,Ibrik,Paris,French
78,Restaurant - Marisqueria El Faro,Barcelona,Seafood
79,Giraffe Restaurant-Kneipe-Cafe,Berlin,German
80,Rosa Parks Cafe,Berlin,French
81,La garriga,Madrid,Bar
82,El Grado,Athens,Greek
83,Bistrot Le Cap,Paris,French
84,This is not a sushibar,Milan,Japanese
85,Macis & Muscade,Paris,French
86,Manora Blandonnet,Geneva,French
87,Maxi's,Edinburgh,Cafe
88,Louro,Barcelona,European
89,Sherpa Restaurant,Amsterdam,Indian
90,Riche,Stockholm,Swedish
91,Dragon et Phenix,Paris,French
92,Dai Pai,Edinburgh,Asian
93,Gail's Artisan Bakery,London,Cafe
94,"""O Prove""",Lisbon,European
95,Le Paris Orleans Cafe,Paris,French
96,La Botte,Budapest,Italian
97,Jacobs Restaurant,Hamburg,French
98,antica trattoria,Luxembourg,Italian
99,East India,Stockholm,Indian
100,Prinzen Falafel,Berlin,Fast Food
101,500 Restaurant,Prague,Italian
102,Eggs & Co,Paris,French
103,Le Murmure fracassant,Paris,French
104,Caffe Dell'Amore,Warsaw,Italian
105,Milano,Dublin,Italian
106,Houblon et Sarrasin,Paris,French
107,A Toca,London,Mediterranean
108,Coquette,Paris,French
109,Corstorphine Inn,Edinburgh,Bar
110,Yoburger,Copenhagen,American
111,Cafe van Daele,Amsterdam,Dutch
112,M.E.D House restaurant and Cocktail bar,Prague,Mediterranean
113,Maison Maison,Paris,French
114,Benko,Munich,Mediterranean
115,Huasheng,Madrid,Chinese
116,O Recanto,Lisbon,Mediterranean
117,Happiness,Madrid,Chinese
118,Bebel's,Milan,Italian
119,Bouillabaise,Berlin,Seafood
120,Bengal Spice,London,Indian
121,L. A. Finger Food,Prague,Fast Food
122,The Grill Restaurant,London,Steakhouse
123,Marcos Restaurant,Barcelona,Mediterranean
124,Polpo Bar & Restaurant by Kogo,Prague,Italian
125,Cafeteria Trebol,Madrid,Spanish
126,Arg Restaurant,London,Middle Eastern
127,La Boussole,Paris,French
128,Al Colosseo,Berlin,Italian
129,Izu,Milan,Japanese
130,La Divina Comedia,Brussels,Italian
131,Ristorante Terme di Diocleziano,Rome,Italian
132,Osteria Il Melograno,Milan,Italian
133,La Provence,Paris,Mediterranean
134,Ristorante Liola,Rome,Italian
135,Villa Borghese,Paris,Italian
136,Le Bouquet des Archives,Paris,French
137,Zhao Zhou teashop & lab,Budapest,Gluten Free Options
138,Spouter's Corner,London,Bar
139,El Jardin Del Eden,Barcelona,Mediterranean
140,Punt De Trobada,Barcelona,Mediterranean
141,Le Telephone,Paris,Brew Pub
142,PIZZERIA OSTIENSE,Rome,Italian
143,Die Halle CafeRestaurant der Kunsthalle Wien,Vienna,Austrian
144,Sakunthala's Pan Asia Restaurant,London,Asian
145,Bar packy cafe,Rome,Bar
146,Terreiro,Oporto,Seafood
147,Nas Svarak,Prague,European
148,Trattoria La Terrazza,Berlin,Italian
149,Bar Viminale,Rome,Italian
150,Cafe Diana,London,Cafe
151,Pans & Company,Barcelona,Fast Food
152,2. Akt Restaurant & Bar,Zurich,Swiss
153,Bodega 64,Paris,Mediterranean
154,Winkolekcja Wine Bar,Warsaw,Wine Bar
155,Bar Bodega Montse,Barcelona,Spanish
156,Restaurante Manuel do Abade,Oporto,European
157,Thai Khorat,Amsterdam,Asian
158,O'Mexico,Paris,Mexican
159,Jo Sushi,Amsterdam,Japanese
160,100 Montaditos Princesa,Madrid,Fast Food
161,Hotbird Pizza,London,Pizza
162,Osteria,Warsaw,Seafood
163,The Yard,London,Bar
164,Le Biz,Paris,French
165,Restaurace Na Pesinach,Prague,European
166,OM Sienna,Warsaw,Indian
167,Family Fast Food,Rome,Asian
168,Stock,Amsterdam,Cafe
169,Zuum,Barcelona,Healthy
170,Paelleria,Barcelona,Mediterranean
171,Wirtshaus zum Isartal,Munich,Vegetarian Friendly
172,Restaurant Victor,Berlin,German
173,Brasserie Le Commerce,Lyon,French
174,Le Zeyer,Paris,French
175,Restaurante El Porton de Princesa,Madrid,Spanish
176,kadoya,Paris,Japanese
177,Studio Buffo,Warsaw,Polish
178,The Libertine,London,Bar
179,Yoi Sushi,Madrid,Japanese
180,Polskie Smaki,Krakow,Polish
181,Mest Bar & Kok,Stockholm,Bar
182,Island Poke,London,Seafood
183,Floris Bar,Brussels,Pub
184,Cafeteria Teresa,Madrid,Spanish
185,Prezzo,London,Italian
186,Asian Flavours,Amsterdam,Asian
187,St Martin-in-the-Fields Cafe in the Courtyard,London,Cafe
188,Pata Negra,Amsterdam,Bar
189,Napoletano's,Rome,Italian
190,los optimisticos,Prague,Spanish
191,The Sushi Club,Berlin,Japanese
192,Kfc,London,American
193,Meram Bos en Lommer,Amsterdam,Mediterranean
194,Chez Jules,Edinburgh,French
195,Hippopotamus,Lyon,French
196,Le Bar-Brasserie-Restaurant le Sympathique,Paris,French
197,Restaurante O Mordomo,Oporto,Brazilian
198,Fiaschetteria La Saletta,Madrid,Italian
199,Le Rollin,Paris,French
200,Giorgio of Gramegna's Supper Club,Milan,Fusion
201,Mamapita,Hamburg,Italian
202,Pantry,Berlin,Contemporary
203,Conde de Barajas,Madrid,Spanish
204,Coffee Club,Krakow,Italian
205,Tamesis Dock,London,Bar
206,Restaurante Sanabres,Barcelona,Mediterranean
207,U Rytire,Prague,European
208,La Xampanyeria de Tuset,Barcelona,Mediterranean
209,Kumo Sushi Bar Take Away,Milan,Japanese
210,Sweetings,London,Seafood
211,"Vas-Y,Vas-Y",Lyon,French
212,Rasoi Indian Restaurant,Vienna,Indian
213,L'Avant Premiere,Paris,French
214,La Table,Paris,French
215,Gin Rosa,Milan,Italian
216,Freischwimmer,Berlin,German
217,Pizzeria di Sforza Piero,Rome,Fast Food
218,Momento,Milan,Italian
219,Bistrot Paul Chene,Paris,French
220,Pizza Hut,Paris,Pizza
221,KFC,Madrid,Fast Food
222,U Podkovy Restaurace,Prague,Czech
223,Open Baladin,Rome,Italian
224,The Royal Quarter Cafe,London,Cafe
225,Ristorante Alghero,Munich,Italian
226,Porssi,Helsinki,Scandinavian
227,Heimlich Treu,Berlin,German
228,Zizzi - Victoria,London,Italian
229,Cocobello am Copa Beach Wien,Vienna,Bar
230,Bonners Fish Bar,London,Fast Food
231,Hospudka u Palecka,Prague,Bar
232,Trapizzino Testaccio,Rome,Italian
233,Meat The Chaps,London,Steakhouse
234,Old Jazz Cafe,Krakow,Polish
235,Sushi Bar Bluszczanska,Warsaw,Japanese
236,Al Argentino,Amsterdam,Steakhouse
237,Boca Boca,Prague,Cafe
238,Pasta Nostra - Villarroel,Barcelona,Italian
239,Bambini Pizzeria & Ristorante,Prague,Italian
240,Movies,Zurich,American
241,Hopfengarten,Munich,Mediterranean
242,Chez Enzo,Paris,Italian
243,Tonda,Madrid,Italian
244,U Tri Korunek,Prague,European
245,Casa Almirall,Barcelona,Bar
246,Il Re di Puglia,Amsterdam,Italian
247,Hot & Smoked,Madrid,American
248,Craft Beer Muranow Piwny Swiat,Warsaw,Brew Pub
249,KAZ BAR,Paris,French
250,Le Fleuve Rouge,Paris,Vegetarian Friendly
251,Jas Steakhouse,Hamburg,Steakhouse
252,SALE PEPE & ROSMARINO,Brussels,Italian
253,L'Eventail,Paris,French
254,Tandoor Chop House,London,Indian
255,Charivari,Paris,French
256,Ciao Bella Roma,Dublin,Italian
257,Nerja,Brussels,European
258,McCafe,Dublin,Cafe
259,Charlie brown 14,Milan,Italian
260,Korean BBQ,Edinburgh,Barbecue
261,Cafe Panache,Amsterdam,Dutch
262,Addis Abeba,Paris,African
263,Tasca do Bairro,Oporto,Portuguese
264,EXKi Malesherbes,Paris,Fast Food
265,Pizzeria La Favorita,Vienna,Italian
266,Le 41 Pasteur,Paris,French
267,Patagaf,Brussels,Italian
268,Tordenskiold Pub,Oslo,Pub
269,El Raconet De La Silvia,Barcelona,Mediterranean
270,A Taberna da Se,Oporto,European
271,santo y sena,Madrid,Spanish
272,Hora Haus,Prague,American
273,Restaurant Barshu,Copenhagen,Thai
274,Osteria Ponte Sisto,Rome,Italian
275,Da Riccardo,Rome,Italian
276,Le Papere - Ristorante,Rome,Seafood
277,Beauty Killed the Beast,Athens,Bar
278,Sempre Pizza,Lyon,Italian
279,PAUL New Street Square,London,French
280,Vino e Libri,Berlin,Italian
281,Bozar Brasserie,Brussels,French
282,Zen Sushi,Helsinki,Japanese
283,Rufus Pucci Pizza,London,Italian
284,Lumskebugten,Copenhagen,European
285,Chimi Churri,Luxembourg,Latin
286,Rugbyman N° Two,Brussels,French
287,Fantoci,Prague,Pizza
288,Cabana Westfield Stratford,London,Brazilian
289,Stoccaggio Wine Bar,Krakow,Bar
290,Monsieur Poirot,Paris,French
291,La Nuova Piazza,Brussels,Italian
292,Niezly Kociol,Warsaw,International
293,Caputxes,Barcelona,Mediterranean
294,Money di Dozio Antonio,Milan,Italian
295,La Fenice,Rome,Italian
296,Alhambra,Madrid,Bar
297,Cantina Hindu,Lisbon,Indian
298,Blue Elephant,Dublin,Japanese
299,Sushi Bar Hannah,Madrid,Sushi
300,Trimani Il Winebar,Rome,Italian
301,Flussbad Unterer Letten,Zurich,Italian
302,Dim T,London,Asian
303,Jensens Boefhus Sergelgatan,Stockholm,Steakhouse
304,Pizza Luna,Rome,Pizza
305,BB'z Bar & Grill,Budapest,Bar
306,Troy 22,London,British
307,Grycan Ice Cream Cafe,Prague,Cafe
308,Park Cafe,London,Healthy
309,HD Diner Lyon,Lyon,American
310,Lupita del Born,Barcelona,Mexican
311,Karma Cafe and Restaurant,Budapest,Indian
312,Ciao Bella,Brussels,Italian
313,Restaurante Sei La,Oporto,African
314,My Lola,Madrid,Italian
315,Banger Bros,London,American
316,Hua Lian,Rome,Chinese
317,Leon,London,Indian
318,El Bombin Bar Bodega,Barcelona,Mediterranean
319,Blaue Lagune,Vienna,Italian
320,Cenas en Barco,Barcelona,Mediterranean
321,Apsorn Thai Restaurant,Oslo,Asian
322,La Taberna de Gerardo,Madrid,Spanish
323,Chilli,Prague,Pizza
324,The Eight Bells,London,Bar
325,Prime Burger Euston Station,London,American
326,Rocco,Rome,Italian
327,Bella Italia Baker Street,London,Italian
328,Boco Bercy,Paris,French
329,Calthorpe Arms,London,Bar
330,Meze Mangal,London,Mediterranean
331,Restaurante Bota Feijao,Lisbon,European
332,Gramabar,Madrid,American
333,Don Camilo,Paris,French
334,Bratislavska Haluskaren,Bratislava,Pizza
335,Restaurant Burgli,Zurich,Swiss
336,Villa Maasai,Paris,African
337,King Falafel Palace,Paris,Fast Food
338,Piccolo Mondo,Helsinki,Italian
339,Moxie Fish Bar,London,Seafood
340,Brasserie Marius,Lyon,French
341,Taste of India,Budapest,Indian
342,The Prince of Wales,London,Bar
343,Jack l'a dit,Brussels,Belgian
344,Restaurante Tony Roma's,Madrid,American
345,Kaffefair,Copenhagen,European
346,Chez Franz,Brussels,Bar
347,Berlin Burrito Company Mitte,Berlin,Mexican
348,Convivium,Rome,Pizza
349,Cafe The Flying Dutchman,Amsterdam,Bar
350,Pistolet Original,Brussels,Belgian
351,Il Mondo Kava,Bratislava,Cafe
352,Azienda Cucineria,Rome,Italian
353,Shiraz,Oslo,Middle Eastern
354,Chutnify,Berlin,Indian
355,Les 4 jeudis,Brussels,Vegetarian Friendly
356,Brown and Green at Mayow Park,London,Cafe
357,Osteria No. 1,Berlin,Italian
358,Bar Giornale,Munich,Italian
359,Petit Hongkong,Paris,Chinese
360,Yaki,Brussels,Asian
361,Comptoir Libanais,London,Lebanese
362,Cafe-Bar Conter,Luxembourg,Italian
363,Pasta & Vino,Berlin,Italian
364,Le Bouchon Lustre,Lyon,French
365,L’Osteria,Vienna,Pizza
366,Babooshka,Warsaw,Russian
367,La Dinette de Louis,Paris,French
368,Dame am Kamin,Berlin,German
369,Sugar Hut,Geneva,Asian
370,Busaba Eathai,London,Asian
371,Honest Burgers - Warren St,London,Fast Food
372,Le Bistrot Gourmand du Haut Marais,Paris,French
373,Pano De Boca,Lisbon,Portuguese
374,La Trini,Barcelona,Mediterranean
375,Farina,Rome,Italian
376,Mecanic,Barcelona,French
377,LA TAVERNA,Barcelona,Spanish
378,Cheesy Cakes,Amsterdam,Cafe
379,Brussels Brasserie,Brussels,Belgian
380,The Knife,Madrid,Steakhouse
381,Stoemelings,Brussels,Belgian
382,Austernkeller,Munich,Seafood
383,Signora AVA,Brussels,Mediterranean
384,Telepizza,Madrid,Pizza
385,Wirtshaus Valley's,Munich,German
386,S' Wiener Naschmarkt Beisl,Vienna,German
387,Caffe Murano,Lyon,Italian
388,Le Rialto,Lyon,Italian
389,Nan True Thai,London,Thai
390,Au Bon Coeur 3 (gare du midi),Brussels,Mediterranean
391,The Best Kebab,London,Fast Food
392,La Pantera Negra,Athens,Peruvian
393,Golf Restaurant,Prague,European
394,El salero,Madrid,Mediterranean
395,Restaurant Miteinander,Berlin,German
396,AlCapone's Club Restaurant Ostrava,Prague,Italian
397,Malostranska Pivnice,Prague,Bar
398,Genio,Paris,Pizza
399,Jim Block Kirchenallee,Hamburg,American
400,Le Hollandais,Amsterdam,French
401,Restaurant Gron,Helsinki,European
402,Paparazzi Restaurant & Pizzeria,Budapest,Pizza
403,Pizza Do Krabice,Prague,Pizza
404,Le Mouton Blanc,Paris,French
405,Apollo Taverne,Zurich,Mediterranean
406,The Fitzrovia,London,Bar
407,Xerta Restaurant,Barcelona,International
408,Tandoor House,Zurich,Indian
409,Pod Kopcem,Krakow,Polish
410,Sarovar,Munich,Indian
411,Kimchee,London,Fast Food
412,Sushinoen,London,Japanese
413,Pizza Gege,Rome,Italian
414,Puerto Azul,Milan,Peruvian
415,Au Coin Pasteur,Paris,French
416,Sumi,Milan,Japanese
417,So'Riso - Corso Magenta,Milan,Italian
418,ROSSOPOMODORO Swiss Cottage,London,Italian
419,Duke of Hamilton,London,Pub
420,Bar Le Patron,Amsterdam,Dutch
421,Amber Indian Restaurant,Munich,Indian
422,Pub Kleber Bar Brasserie,Paris,French
423,Bembo al Pigneto,Rome,Italian
424,Hansom Cab,London,Bar
425,Planet Sushi,Warsaw,Japanese
426,La Venta,Barcelona,Mediterranean
427,El Bigote del Greco,Madrid,Cafe
428,Pjotr Media Cafe,Amsterdam,Dutch
429,BEIM SIGGY,Luxembourg,French
430,Semas Cafe,London,British
431,Colmado Murria,Barcelona,Delicatessen
432,The Village Restaurante,London,Portuguese
433,Peter Rabbit & Friends,Madrid,Spanish
434,Firezza Stratford,London,Pizza
435,PETIT BANGKOK,Barcelona,Asian
436,Kata,London,Sushi
437,Fragma,Athens,Greek
438,Shezan,Brussels,Indian
439,@Pizza,Edinburgh,Pizza
440,Wesley's Cafe,London,British
441,Pause Cafe,Budapest,Bar
442,Kinai-koreai Etelbar,Budapest,Asian
443,Pohostinec Monarch,Prague,Steakhouse
444,Glacis Beisl,Vienna,German
445,Granja Flori's 2,Barcelona,Spanish
446,Sushi Okuda,Paris,Japanese
447,L'Olyve,Geneva,Pub
448,BiancoNoir Bistrot,Barcelona,Mediterranean
449,Detour,Paris,French
450,Ring the Bell,Warsaw,Bar
451,Trader Vic's,Munich,Asian
452,Public House 12,Brussels,Bar
453,L'Etranger,London,French
454,Gerbillo Furioso,Rome,European
455,Sushi House,Paris,Japanese
456,Strudlkuchl,Vienna,Austrian
457,Lehuto - Craft Beer Bar,Budapest,Spanish
458,Foster`s,Madrid,American
459,Notre Maison,Lyon,French
460,Le Streghe,Rome,Italian
461,Marco,Lisbon,European
462,Brittany Food,Paris,French
463,Manana,Geneva,Mexican
464,Boetzow Privat,Berlin,German
465,Alkimia,Barcelona,Mediterranean
466,Happy Buddha,Berlin,Chinese
467,Cosel Palais Gran Cafe e Restaurat,Vienna,Austrian
468,Anyday SuperSalad,London,Cafe
469,Bodega Biarritz,Barcelona,Mediterranean
470,ADN bar,Geneva,Brew Pub
471,Oh! Regelade de la Tour Eiffel,Paris,French
